IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.107.121.246,443,443,true,FRA,Europe,Frankfurt,380,0.22
34.141.209.35,443,443,true,FRA,Europe,Frankfurt,280,0.20
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,303,0.20
34.90.191.52,443,443,true,FRA,Europe,Frankfurt,304,0.18
34.65.68.162,443,443,true,FRA,Europe,Frankfurt,279,0.18
34.116.154.215,443,443,true,FRA,Europe,Frankfurt,316,0.17
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,294,0.17
34.90.71.209,443,443,true,FRA,Europe,Frankfurt,284,0.17
34.107.49.2,443,443,true,FRA,Europe,Frankfurt,294,0.16
34.89.134.176,443,443,true,FRA,Europe,Frankfurt,299,0.15
34.32.165.33,443,443,true,FRA,Europe,Frankfurt,291,0.13
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,270,0.12
34.65.41.218,443,443,true,FRA,Europe,Frankfurt,261,0.12
34.154.118.223,443,443,true,FRA,Europe,Frankfurt,298,0.11
34.65.195.44,443,443,true,FRA,Europe,Frankfurt,303,0.11
35.198.78.179,443,443,true,FRA,Europe,Frankfurt,299,0.11
34.154.206.40,443,443,true,FRA,Europe,Frankfurt,289,0.11
34.91.217.220,443,443,true,FRA,Europe,Frankfurt,310,0.11
34.154.109.254,443,443,true,FRA,Europe,Frankfurt,278,0.10
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,306,0.10
34.89.189.246,443,443,true,FRA,Europe,Frankfurt,298,0.10
34.65.195.44,443,443,true,FRA,Europe,Frankfurt,335,0.09
34.90.198.51,443,443,true,FRA,Europe,Frankfurt,295,0.09
34.90.123.5,443,443,true,FRA,Europe,Frankfurt,336,0.09
34.154.192.148,443,443,true,FRA,Europe,Frankfurt,306,0.09
34.89.189.246,443,443,true,FRA,Europe,Frankfurt,303,0.08
35.246.217.244,443,443,true,FRA,Europe,Frankfurt,293,0.08
34.91.50.232,443,443,true,FRA,Europe,Frankfurt,332,0.08
34.154.145.82,443,443,true,FRA,Europe,Frankfurt,267,0.07
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,275,0.07
34.65.157.38,443,443,true,FRA,Europe,Frankfurt,290,0.06
34.65.62.133,443,443,true,FRA,Europe,Frankfurt,306,0.06
34.147.91.221,443,443,true,FRA,Europe,Frankfurt,300,0.06
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,303,0.06
34.91.50.232,443,443,true,FRA,Europe,Frankfurt,266,0.06
34.154.89.68,443,443,true,FRA,Europe,Frankfurt,261,0.06
34.116.132.87,443,443,true,FRA,Europe,Frankfurt,405,0.06
34.154.207.2,443,443,true,FRA,Europe,Frankfurt,294,0.06
34.89.143.11,443,443,true,FRA,Europe,Frankfurt,300,0.05
34.107.19.191,443,443,true,FRA,Europe,Frankfurt,307,0.05
34.65.43.232,443,443,true,FRA,Europe,Frankfurt,263,0.04
34.65.219.21,443,443,true,FRA,Europe,Frankfurt,304,0.04
35.204.129.121,443,443,true,FRA,Europe,Frankfurt,303,0.04
34.91.217.220,443,443,true,FRA,Europe,Frankfurt,293,0.04
34.65.14.48,443,443,true,FRA,Europe,Frankfurt,283,0.04
34.118.30.132,443,443,true,FRA,Europe,Frankfurt,315,0.04
34.116.132.87,443,443,true,FRA,Europe,Frankfurt,304,0.04
34.154.175.219,443,443,true,FRA,Europe,Frankfurt,310,0.04
34.89.222.203,443,443,true,FRA,Europe,Frankfurt,303,0.03
34.65.68.76,443,443,true,AMS,Europe,Amsterdam,308,0.03
34.65.112.113,443,443,true,FRA,Europe,Frankfurt,301,0.03
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,287,0.03
34.118.30.13,443,443,true,FRA,Europe,Frankfurt,312,0.03
34.116.132.141,443,443,true,FRA,Europe,Frankfurt,318,0.02
34.107.122.127,443,443,true,FRA,Europe,Frankfurt,285,0.02
34.65.14.48,443,443,true,FRA,Europe,Frankfurt,266,0.02
34.65.180.77,443,443,true,FRA,Europe,Frankfurt,305,0.02
34.89.134.176,443,443,true,FRA,Europe,Frankfurt,272,0.01
34.65.12.164,443,443,true,FRA,Europe,Frankfurt,305,0.01
34.116.214.3,443,443,true,FRA,Europe,Frankfurt,402,0.01
34.90.252.67,443,443,true,FRA,Europe,Frankfurt,303,0.01
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,307,0.01
34.91.1.34,443,443,true,FRA,Europe,Frankfurt,305,0.01
34.65.183.167,443,443,true,FRA,Europe,Frankfurt,307,0.01
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,299,0.00
34.90.123.5,443,443,true,FRA,Europe,Frankfurt,302,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,61,0.00
34.168.152.133,80,80,false,SEA,North America,Seattle,156,0.00
34.168.152.133,443,80,false,SEA,North America,Seattle,157,0.00
34.82.155.100,80,80,false,SEA,North America,Seattle,157,0.00
34.82.155.100,80,80,false,SEA,North America,Seattle,158,0.00
34.82.155.100,80,80,false,SEA,North America,Seattle,167,0.00
34.105.3.218,443,443,true,SEA,North America,Seattle,182,0.00
34.65.71.15,443,443,true,FRA,Europe,Frankfurt,249,0.00
34.65.13.54,443,443,true,FRA,Europe,Frankfurt,250,0.00
34.65.181.153,443,443,true,FRA,Europe,Frankfurt,250,0.00
34.65.254.136,443,443,true,FRA,Europe,Frankfurt,250,0.00
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,251,0.00
34.65.18.21,443,443,true,FRA,Europe,Frankfurt,251,0.00
34.65.171.227,443,443,true,FRA,Europe,Frankfurt,257,0.00
34.65.198.87,443,443,true,FRA,Europe,Frankfurt,257,0.00
34.65.99.243,443,443,true,FRA,Europe,Frankfurt,258,0.00
34.65.224.8,443,443,true,FRA,Europe,Frankfurt,258,0.00
34.89.241.113,443,443,true,FRA,Europe,Frankfurt,262,0.00
34.154.120.16,443,443,true,FRA,Europe,Frankfurt,273,0.00
35.246.228.6,443,443,true,FRA,Europe,Frankfurt,275,0.00
